consumedbudget algo
300 HC
37 HC
145 HC
300 HC
300 HC
205 HC
31 HC
300 HC
115 HC
49 HC
43 HC
73 HC
43 HC
139 HC
163 HC
300 HC
85 HC
91 HC
217 HC
25 HC
300 HC
37 HC
300 HC
181 HC
43 HC
139 HC
115 HC
31 HC
247 HC
121 HC
103 HC
55 HC
139 HC
145 HC
49 HC
91 HC
55 HC
253 HC
300 HC
277 HC
300 HC
300 HC
300 HC
193 HC
283 HC
157 HC
85 HC
139 HC
127 HC
25 HC
157 HC
49 HC
300 HC
79 HC
25 HC
300 HC
79 HC
61 HC
25 HC
103 HC
55 HC
31 HC
300 HC
85 HC
67 HC
199 HC
61 HC
300 HC
300 HC
300 HC
115 HC
91 HC
67 HC
85 HC
300 HC
67 HC
61 HC
115 HC
247 HC
115 HC
37 HC
97 HC
300 HC
43 HC
145 HC
85 HC
61 HC
229 HC
217 HC
211 HC
73 HC
175 HC
145 HC
300 HC
133 HC
31 HC
277 HC
55 HC
55 HC
85 HC
300 HC
73 HC
300 HC
271 HC
300 HC
300 HC
300 HC
300 HC
43 HC
73 HC
133 HC
151 HC
300 HC
259 HC
300 HC
115 HC
43 HC
300 HC
121 HC
145 HC
181 HC
73 HC
109 HC
109 HC
169 HC
300 HC
37 HC
300 HC
79 HC
31 HC
300 HC
300 HC
199 HC
300 HC
300 HC
300 HC
300 HC
7 HC
103 HC
175 HC
91 HC
157 HC
181 HC
121 HC
300 HC
300 HC
300 HC
300 HC
157 HC
300 HC
300 HC
157 HC
133 HC
139 HC
25 HC
175 HC
55 HC
43 HC
55 HC
43 HC
91 HC
115 HC
109 HC
300 HC
300 HC
181 HC
300 HC
300 HC
300 HC
175 HC
133 HC
49 HC
300 HC
300 HC
43 HC
277 HC
187 HC
7 HC
300 HC
97 HC
55 HC
37 HC
85 HC
103 HC
145 HC
55 HC
283 HC
300 HC
43 HC
300 HC
91 HC
115 HC
300 HC
229 HC
300 HC
300 HC
13 HC
139 HC
300 HC
91 HC
127 HC
289 HC
13 HC
109 HC
235 HC
259 HC
49 HC
235 HC
300 HC
115 HC
300 HC
193 HC
271 HC
300 HC
300 HC
175 HC
61 HC
67 HC
300 HC
229 HC
300 HC
91 HC
151 HC
187 HC
235 HC
300 HC
85 HC
217 HC
121 HC
97 HC
300 HC
300 HC
139 HC
223 HC
7 HC
121 HC
300 HC
115 HC
300 HC
85 HC
79 HC
91 HC
115 HC
91 HC
175 HC
277 HC
175 HC
37 HC
300 HC
85 HC
103 HC
79 HC
300 HC
295 HC
73 HC
300 HC
241 HC
31 HC
133 HC
115 HC
300 HC
61 HC
115 HC
163 HC
31 HC
133 HC
300 HC
49 HC
79 HC
85 HC
103 HC
79 HC
300 HC
55 HC
19 HC
163 HC
73 HC
300 HC
300 HC
300 HC
61 HC
19 HC
241 HC
300 HC
145 HC
300 HC
55 HC
115 HC
223 HC
139 HC
169 HC
115 HC
31 HC
283 HC
55 HC
55 HC
25 HC
25 HC
73 HC
115 HC
300 HC
97 HC
247 HC
211 HC
271 HC
193 HC
253 HC
169 HC
67 HC
115 HC
55 HC
127 HC
241 HC
235 HC
300 HC
199 HC
145 HC
67 HC
300 HC
300 HC
300 HC
49 HC
163 HC
115 HC
19 HC
25 HC
217 HC
211 HC
199 HC
85 HC
211 HC
199 HC
223 HC
300 HC
109 HC
300 HC
145 HC
25 HC
205 HC
300 HC
300 HC
103 HC
193 HC
91 HC
169 HC
73 HC
300 HC
289 HC
61 HC
43 HC
175 HC
115 HC
259 HC
223 HC
49 HC
91 HC
61 HC
300 HC
79 HC
7 HC
300 HC
300 HC
300 HC
300 HC
253 HC
300 HC
300 HC
211 HC
67 HC
300 HC
223 HC
169 HC
49 HC
91 HC
55 HC
97 HC
211 HC
145 HC
181 HC
55 HC
169 HC
199 HC
115 HC
300 HC
300 HC
13 HC
37 HC
300 HC
97 HC
139 HC
37 HC
151 HC
300 HC
43 HC
181 HC
300 HC
211 HC
121 HC
163 HC
145 HC
300 HC
97 HC
37 HC
211 HC
37 HC
169 HC
103 HC
67 HC
247 HC
55 HC
103 HC
199 HC
193 HC
151 HC
235 HC
300 HC
61 HC
25 HC
277 HC
37 HC
49 HC
139 HC
300 HC
300 HC
43 HC
103 HC
223 HC
121 HC
79 HC
187 HC
97 HC
13 HC
67 HC
217 HC
7 HC
157 HC
97 HC
295 HC
91 HC
247 HC
49 HC
79 HC
223 HC
300 HC
300 HC
300 HC
49 HC
241 HC
300 HC
67 HC
163 HC
163 HC
193 HC
217 HC
300 HC
139 HC
103 HC
67 HC
31 HC
67 HC
211 HC
259 HC
115 HC
91 HC
300 HC
217 HC
300 HC
115 HC
300 HC
121 HC
151 HC
73 HC
300 HC
31 HC
300 HC
235 HC
300 HC
103 HC
300 HC
133 HC
43 HC
300 HC
193 HC
235 HC
300 HC
127 HC
61 HC
31 HC
300 HC
55 HC
300 HC
151 HC
73 HC
43 HC
217 HC
79 HC
229 HC
181 HC
37 HC
157 HC
300 HC
205 HC
265 HC
43 HC
67 HC
300 HC
67 HC
67 HC
157 HC
31 HC
300 HC
300 HC
300 HC
283 HC
49 HC
133 HC
43 HC
79 HC
300 HC
229 HC
300 HC
300 HC
271 HC
31 HC
181 HC
300 HC
300 HC
73 HC
259 HC
187 HC
115 HC
55 HC
300 HC
73 HC
121 HC
145 HC
145 HC
139 HC
300 HC
97 HC
300 HC
223 HC
43 HC
300 HC
115 HC
169 HC
43 HC
223 HC
127 HC
217 HC
139 HC
211 HC
300 HC
259 HC
73 HC
79 HC
7 HC
127 HC
235 HC
103 HC
109 HC
169 HC
300 HC
199 HC
300 HC
300 HC
55 HC
61 HC
115 HC
37 HC
300 HC
49 HC
139 HC
229 HC
13 HC
300 HC
151 HC
300 HC
151 HC
205 HC
133 HC
300 HC
37 HC
157 HC
300 HC
175 HC
139 HC
300 HC
97 HC
300 HC
300 HC
300 HC
79 HC
109 HC
7 HC
300 HC
175 HC
151 HC
133 HC
139 HC
109 HC
223 HC
97 HC
31 HC
241 HC
300 HC
55 HC
49 HC
103 HC
43 HC
115 HC
259 HC
300 HC
121 HC
85 HC
300 HC
133 HC
109 HC
300 HC
85 HC
37 HC
61 HC
43 HC
37 HC
85 HC
300 HC
300 HC
37 HC
19 HC
19 HC
85 HC
85 HC
151 HC
85 HC
55 HC
73 HC
103 HC
121 HC
55 HC
31 HC
55 HC
247 HC
175 HC
300 HC
49 HC
199 HC
163 HC
300 HC
300 HC
61 HC
97 HC
67 HC
133 HC
300 HC
49 HC
121 HC
300 HC
37 HC
151 HC
295 HC
241 HC
289 HC
300 HC
121 HC
97 HC
187 HC
139 HC
49 HC
217 HC
67 HC
49 HC
300 HC
145 HC
211 HC
49 HC
85 HC
259 HC
79 HC
79 HC
103 HC
300 HC
73 HC
187 HC
73 HC
49 HC
43 HC
103 HC
199 HC
300 HC
73 HC
300 HC
253 HC
300 HC
145 HC
300 HC
300 HC
217 HC
300 HC
300 HC
169 HC
55 HC
151 HC
163 HC
300 HC
79 HC
115 HC
43 HC
103 HC
193 HC
300 HC
97 HC
193 HC
157 HC
265 HC
163 HC
139 HC
19 HC
61 HC
163 HC
37 HC
49 HC
79 HC
217 HC
253 HC
61 HC
300 HC
49 HC
217 HC
193 HC
300 HC
300 HC
85 HC
79 HC
300 HC
127 HC
79 HC
79 HC
115 HC
151 HC
300 HC
235 HC
300 HC
109 HC
55 HC
300 HC
79 HC
217 HC
115 HC
37 HC
85 HC
300 HC
61 HC
300 HC
121 HC
211 HC
109 HC
73 HC
61 HC
193 HC
115 HC
97 HC
115 HC
115 HC
300 HC
43 HC
13 HC
300 HC
300 HC
91 HC
127 HC
91 HC
103 HC
163 HC
37 HC
79 HC
37 HC
49 HC
139 HC
91 HC
295 HC
43 HC
271 HC
217 HC
265 HC
19 HC
283 HC
37 HC
300 HC
300 HC
300 HC
175 HC
199 HC
300 HC
300 HC
127 HC
271 HC
91 HC
259 HC
127 HC
13 HC
115 HC
43 HC
85 HC
211 HC
97 HC
217 HC
85 HC
300 HC
37 HC
211 HC
277 HC
300 HC
300 HC
85 HC
115 HC
300 HC
85 HC
300 HC
67 HC
121 HC
37 HC
259 HC
300 HC
300 HC
145 HC
115 HC
103 HC
145 HC
85 HC
300 HC
283 HC
199 HC
139 HC
79 HC
223 HC
121 HC
67 HC
139 HC
127 HC
127 HC
79 HC
199 HC
73 HC
300 HC
300 HC
115 HC
85 HC
85 HC
300 HC
139 HC
300 HC
115 HC
163 HC
43 HC
300 HC
300 HC
103 HC
175 HC
85 HC
37 HC
300 HC
175 HC
169 HC
157 HC
127 HC
109 HC
300 HC
193 HC
19 HC
49 HC
300 HC
67 HC
300 HC
300 HC
300 HC
300 HC
277 HC
300 HC
235 HC
91 HC
300 HC
300 HC
55 HC
73 HC
157 HC
157 HC
295 HC
300 HC
67 HC
31 HC
25 HC
300 HC
300 HC
73 HC
31 HC
211 HC
259 HC
151 HC
211 HC
31 HC
300 HC
55 HC
37 HC
55 HC
61 HC
37 HC
253 HC
211 HC
127 HC
157 HC
247 HC
127 HC
109 HC
73 HC
91 HC
300 HC
300 HC
235 HC
300 HC
300 HC
300 HC
217 HC
103 HC
73 HC
127 HC
300 HC
55 HC
157 HC
259 HC
55 HC
43 HC
157 HC
91 HC
300 HC
181 HC
109 HC
127 HC
175 HC
31 HC
85 HC
199 HC
211 HC
121 HC
300 HC
300 HC
103 HC
300 HC
300 HC
151 HC
37 HC
79 HC
61 HC
43 HC
43 HC
79 HC
300 HC
121 HC
97 HC
133 HC
289 HC
67 HC
61 HC
43 HC
300 HC
199 HC
97 HC
300 HC
163 HC
181 HC
61 HC
300 HC
85 HC
13 HC
43 HC
49 HC
109 HC
55 HC
37 HC
151 HC
300 HC
91 HC
229 HC
49 HC
61 HC
133 HC
157 HC
49 HC
109 HC
31 HC
55 HC
37 HC
181 HC
67 HC
300 HC
157 HC
67 HC
67 HC
67 HC
91 HC
139 HC
100 HCF
240 HCF
300 HCF
171 HCF
80 HCF
243 HCF
300 HCF
67 HCF
244 HCF
154 HCF
21 HCF
90 HCF
255 HCF
151 HCF
115 HCF
189 HCF
31 HCF
23 HCF
72 HCF
250 HCF
54 HCF
34 HCF
300 HCF
79 HCF
17 HCF
121 HCF
14 HCF
110 HCF
278 HCF
267 HCF
190 HCF
97 HCF
36 HCF
56 HCF
59 HCF
79 HCF
10 HCF
54 HCF
259 HCF
66 HCF
133 HCF
300 HCF
179 HCF
211 HCF
271 HCF
43 HCF
226 HCF
199 HCF
292 HCF
169 HCF
121 HCF
259 HCF
67 HCF
95 HCF
32 HCF
49 HCF
17 HCF
56 HCF
24 HCF
97 HCF
106 HCF
250 HCF
127 HCF
121 HCF
36 HCF
300 HCF
93 HCF
87 HCF
69 HCF
300 HCF
156 HCF
115 HCF
78 HCF
111 HCF
300 HCF
243 HCF
192 HCF
45 HCF
127 HCF
60 HCF
198 HCF
51 HCF
165 HCF
3 HCF
144 HCF
50 HCF
206 HCF
28 HCF
176 HCF
106 HCF
33 HCF
154 HCF
174 HCF
50 HCF
118 HCF
300 HCF
205 HCF
34 HCF
72 HCF
15 HCF
94 HCF
22 HCF
121 HCF
129 HCF
12 HCF
300 HCF
81 HCF
300 HCF
51 HCF
53 HCF
61 HCF
122 HCF
128 HCF
56 HCF
59 HCF
61 HCF
39 HCF
18 HCF
114 HCF
134 HCF
142 HCF
44 HCF
300 HCF
211 HCF
300 HCF
79 HCF
47 HCF
300 HCF
124 HCF
113 HCF
269 HCF
300 HCF
154 HCF
300 HCF
258 HCF
187 HCF
56 HCF
64 HCF
300 HCF
72 HCF
46 HCF
66 HCF
142 HCF
129 HCF
300 HCF
49 HCF
110 HCF
108 HCF
15 HCF
32 HCF
300 HCF
300 HCF
38 HCF
152 HCF
13 HCF
300 HCF
33 HCF
152 HCF
39 HCF
101 HCF
79 HCF
75 HCF
90 HCF
300 HCF
300 HCF
175 HCF
46 HCF
158 HCF
300 HCF
256 HCF
90 HCF
198 HCF
300 HCF
300 HCF
138 HCF
117 HCF
35 HCF
2 HCF
300 HCF
265 HCF
110 HCF
61 HCF
116 HCF
73 HCF
123 HCF
77 HCF
203 HCF
136 HCF
52 HCF
191 HCF
53 HCF
64 HCF
300 HCF
79 HCF
25 HCF
112 HCF
10 HCF
164 HCF
300 HCF
121 HCF
234 HCF
54 HCF
37 HCF
228 HCF
115 HCF
139 HCF
19 HCF
175 HCF
98 HCF
109 HCF
135 HCF
104 HCF
