budget bound algo success avg
0 50 HC 0 0.00
0 50 HCF 0 0.00
0 50 RD 0 0.00
50 50 HC 128 47.93
50 50 HCF 185 46.32
50 50 RD 51 48.74
100 50 HC 351 85.57
100 50 HCF 407 81.43
100 50 RD 98 94.95
300 50 HC 767 163.39
300 50 HCF 806 146.95
300 50 RD 254 258.49
500 50 HC 873 196.50
500 50 HCF 894 180.42
500 50 RD 366 398.23
1000 50 HC 966 235.37
1000 50 HCF 972 216.41
1000 50 RD 596 660.60
1500 50 HC 996 242.61
1500 50 HCF 992 215.60
1500 50 RD 741 817.21
2000 50 HC 999 251.37
2000 50 HCF 999 224.30
2000 50 RD 834 915.60
